txid,vout_index,output_address,value_rvn,script_type,asset_name,asset_amount,asset_type
04c552ca03cc07b15fef1a8c89cfe17067b40fe651477f464a8a1c3c07677549,2,RVnPh8UFMjDPjPZkzKgGtWtjWsFMsrf2Bg,21.06495242,pubkeyhash,,,
04f01a21332461f8d558ca2636108bffeea8d4212efcd116d4f2590b5ef44fff,0,,0.00000000,nulldata,,,
04f01a21332461f8d558ca2636108bffeea8d4212efcd116d4f2590b5ef44fff,1,RB7pnyHg2Bq4THa2wZvLq4y3VWDesJHCFz,993.41712000,pubkeyhash,,,
04f0828aef0df3b06a67c3246e6dda4fe605ba189d32c34cf62355abaac4d1ed,0,,0.00000000,nulldata,,,
04f0828aef0df3b06a67c3246e6dda4fe605ba189d32c34cf62355abaac4d1ed,1,RNf5aq9vrCZZ4kP6oSTkQ99vTE4FtFoxWd,992.80455000,pubkeyhash,,,
0508b0388506d2e4b9fb770fb946b42a77cac44584f02247c306eed2820f7bbe,0,,0.00000000,nulldata,,,
0508b0388506d2e4b9fb770fb946b42a77cac44584f02247c306eed2820f7bbe,1,RPjMT3azKswA9fbFY8UM7Cz2zrsFRLrQBQ,991.39695000,pubkeyhash,,,
050936508381bcbd72e59f302fff058cfe05be57bc3e6db74d938b12a52b263d,0,,0.00000000,nulldata,,,
050936508381bcbd72e59f302fff058cfe05be57bc3e6db74d938b12a52b263d,1,RCou19c6rfoCYaZAGwpR2SJf4nvVdEB67t,994.77992000,pubkeyhash,,,
050a505c8d1eb764fe1d89f590f62612961feb0c88f3f986a71ec38b8e8c41ed,0,,0.00000000,nulldata,,,
050a505c8d1eb764fe1d89f590f62612961feb0c88f3f986a71ec38b8e8c41ed,1,RUgcPDjyDch9nwsgntfziVxrVy14uFx8Bs,993.11643000,pubkeyhash,,,
0526a55f73d2d9cd1e88f90a583941558301d0e00b967b44762d81677db9a8ac,0,,0.00000000,nulldata,,,
0526a55f73d2d9cd1e88f90a583941558301d0e00b967b44762d81677db9a8ac,1,RQ2Ty6oF8aCpkysx67358aAhC5ToX9LgcE,994.46804000,pubkeyhash,,,
053d9540ed55489f8949c05f531aa00481c635d672cefa3d1b688392a4e223c3,0,,0.00000000,nulldata,,,
053d9540ed55489f8949c05f531aa00481c635d672cefa3d1b688392a4e223c3,1,RAbKeWks99hrfuVmBkKJuhz1QMMMAtrCHb,989.26379000,pubkeyhash,,,
05618784ef17c299af92c769d6cffa291d81aa74936e5653af07cf30a8a8514e,0,,0.00000000,nulldata,,,
05618784ef17c299af92c769d6cffa291d81aa74936e5653af07cf30a8a8514e,1,RPK5ZLMHXiSDGDDhnZnow7hJYvXLdShG3J,992.41815000,pubkeyhash,,,
0585e326802e8b8cd3a870dd7dfd0a5ee0c46d3d128d2f0ff32a3476dea65ec4,0,,0.00000000,nulldata,,,
0585e326802e8b8cd3a870dd7dfd0a5ee0c46d3d128d2f0ff32a3476dea65ec4,1,RCDRbVdrpKRVQQFHdtztPaaMGXoxPGyXUt,992.07315000,pubkeyhash,,,
05b59f5310b6b844c7b72a1e511d685590673ab64d4ee0421f386db6aaa422c5,0,,0.00000000,nulldata,,,
05b59f5310b6b844c7b72a1e511d685590673ab64d4ee0421f386db6aaa422c5,1,RUWkwSQbRiDhtWjKS8ZNXaFTuPrXHQFvr4,992.79075000,pubkeyhash,,,
05b936dcd9ce90aa2e6599f522c0e1c867c74dc29c743a62e4b41fbbfa13d198,0,,0.00000000,nulldata,,,
05b936dcd9ce90aa2e6599f522c0e1c867c74dc29c743a62e4b41fbbfa13d198,1,RMM9d89rofsEij8QSaJtDDCZrRp2mBj6sW,994.33344000,pubkeyhash,,,
05bf954c20eb839b8200b1c006b4ac8a1e63e6265b4879c0a0c67cb7d3dc9ee9,0,RCpNFn8thuh6mfhgiNV4ChTAxrFXsRexAd,0.70431450,pubkeyhash,,,
05bf954c20eb839b8200b1c006b4ac8a1e63e6265b4879c0a0c67cb7d3dc9ee9,1,RK8yJahsd4JEksuYdwXcpbar5MqPfsKexv,20.17420225,pubkeyhash,,,
05bf954c20eb839b8200b1c006b4ac8a1e63e6265b4879c0a0c67cb7d3dc9ee9,2,RHvY8nbzytTk2RJQhDspkP9hfPsAJFXCE7,25.23868994,pubkeyhash,,,
05c68b66eabee236cf36f3e02f2282152d367e350cdf072dfeaaec073a8ba897,0,,0.00000000,nulldata,,,
05c68b66eabee236cf36f3e02f2282152d367e350cdf072dfeaaec073a8ba897,1,RWAHucyGd8ey4VvBMpjEYKULJv78xC42mG,993.15783000,pubkeyhash,,,
05e1e9a4551d9d64764299408cbb3ca73b7ba05cc85608971e37aefb1e4d44e7,0,,0.00000000,nulldata,,,
05e1e9a4551d9d64764299408cbb3ca73b7ba05cc85608971e37aefb1e4d44e7,1,RPqohd3R2341NBtYhrfZ74QBSV8NUQbNaL,989.12855000,pubkeyhash,,,
05f5b18434c368d521bba3f93ba8497b16205fe668b2d7b4a2c084b3232273c3,0,,0.00000000,nulldata,,,
05f5b18434c368d521bba3f93ba8497b16205fe668b2d7b4a2c084b3232273c3,1,RAW4TN7h9Ewzyuw9kVUU9BETorfgVmudnq,995.17120000,pubkeyhash,,,
05f655b86e3547ff4aafa9f0186807cf35d62c754e15c85779c4d282bef42b9f,0,,0.00000000,nulldata,,,
05f655b86e3547ff4aafa9f0186807cf35d62c754e15c85779c4d282bef42b9f,1,RTLoZGKQhZkkhSJqggXMCNgG2FFT1RGDCS,995.36164000,pubkeyhash,,,
05ff02d91196a7cca41599b7b6e91f2a0a731eff0891e834f79bd6686a402c4f,0,,0.00000000,nulldata,,,
05ff02d91196a7cca41599b7b6e91f2a0a731eff0891e834f79bd6686a402c4f,1,RLiYWEbuvxhU6NzwS8iM6xzdG2NMuSJWgo,994.78820000,pubkeyhash,,,
0602d89e03ddf38a1c03e03b6aba349749cbfb4c73fce351f012b5a4b524a5fc,0,,0.00000000,nulldata,,,
0602d89e03ddf38a1c03e03b6aba349749cbfb4c73fce351f012b5a4b524a5fc,1,RNSo73oNaaKD8GxEwBRoqeg1FRLw7E371K,992.14215000,pubkeyhash,,,
06332ee981e112d98c8be12ce304f2bd2bc99804148abca7a93d662daf6ef3f5,0,,0.00000000,nulldata,,,
06332ee981e112d98c8be12ce304f2bd2bc99804148abca7a93d662daf6ef3f5,1,RJVtELN42rvA2Zv6o55XJHzfHcEbK53dQ4,995.21812000,pubkeyhash,,,
0656aaceb3eea110fb75c3511a8b093e0a2c4130d8c3789be94e5080c7e96b12,0,RM2R8cvuetSXwy3hrrrfwxAH5WZ6bPgxyn,3097238.47338805,pubkeyhash,,,
066b544a0842cccea9aec15fa34e46599d7ea189925d0eee161b78a92ab03892,0,,0.00000000,nulldata,,,
066b544a0842cccea9aec15fa34e46599d7ea189925d0eee161b78a92ab03892,1,RUc4mYkb877hkF2pzH5bVd1gmWTJejosaW,991.50459000,pubkeyhash,,,
066bc54cfb8c820f81eb5670b40c43e05fbba269c37a04b680ba92b9ec5df02e,0,,0.00000000,nulldata,,,
066bc54cfb8c820f81eb5670b40c43e05fbba269c37a04b680ba92b9ec5df02e,1,RUwJBqxsoftSELdAQBsh4LVNWCPAUg2AKC,994.96484000,pubkeyhash,,,
0676ed5af5a5f554b58aa15d1ecb8ff395e12ef64018cacd990e67c8fc02bdad,0,,0.00000000,nulldata,,,
